STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
8,0.2591,1.3671,0.2148,-0.1809,-0.3253,-0.6576,2.0871,0.1888,1.8245,0.444,1.3256,0.0083,-0.5707,1.1448,0.3335,0.2621,0.7301,1.1262,-0.3152,0.0731,-0.7823,1,0.933,1,1
1,1.1554,1.0043,0.4394,-2.1693,2.0165,1.0346,-0.62,-0.4677,0.1744,0.027,0.6012,-1.4117,0.2653,0.0273,1.8905,-0.6723,-0.5928,-0.8113,1.8524,-0.9879,-0.7823,1,1.0265,1,1
7,1.3499,1.3671,-0.2871,-0.0706,-0.8111,0.3622,2.0871,2.0073,0.1744,-0.6142,0.6012,1.0844,1.1811,1.1448,-0.5311,-0.9827,-0.5928,-1.2591,0.066,0.3293,-0.7823,2,0.933,1.3333334,1
9,0.7834,1.4022,-0.2023,0.3737,0.2012,1.0346,0.5102,0.4572,0.9684,0.6912,-0.4213,0.0281,0.1956,0.5693,-0.2006,1.7411,1.2386,1.1262,0.4683,2.7249,0.2907,2,-0.1274,1,1
3,1.0755,2.0345,0.4522,0.7198,-0.99,0.3657,1.4931,-0.0763,1.2403,2.0378,0.6012,1.0844,0.1956,1.8164,1.8905,1.348,-1.3186,1.5527,0.3468,0.1223,-0.7823,1,0.9355,1,1
5,0.3763,2.0345,1.314,1.8202,0.299,1.0346,2.0871,2.0073,1.8245,1.563,-0.9391,-2.5375,0.849,-0.7233,1.8905,-0.6723,-1.1176,-0.2056,0.5761,-0.3824,-0.7823,1,-0.5582,1,1
8,1.0307,2.0345,-0.7453,-1.3843,-0.3253,-0.6576,0.7551,0.4572,0.6134,0.2865,0.6012,0.0281,0.7871,-0.6545,0.8207,-0.9827,0.1869,0.3611,0.1447,0.2243,-0.7823,1,0.7512,1,1
9,1.3334,1.4424,0.7015,0.1509,1.1225,0.5029,2.0871,1.1813,1.8245,-0.6142,-1.1062,-0.6583,-0.6888,1.1448,-1.2792,0.2621,0.7301,-0.1628,1.2329,0.3018,0.2907,2,-2.0409,1.3333334,1
2,1.8854,0.7843,0.4394,-0.4344,0.7743,1.0346,2.0871,0.1941,0.9684,1.563,-1.1062,-0.6278,1.1811,-0.6545,-0.4678,-0.92,1.2386,-1.0721,1.2329,-0.4356,-0.7823,2,1.6556,1,1
9,-0.1771,-0.2058,-0.3971,-1.0208,1.1225,1.0346,-0.103,0.1915,0.9478,0.202,0.6894,0.4667,1.2643,1.8164,0.5949,1.7411,1.2386,0.4392,-0.3152,-0.0553,-0.7823,1,0.9651,1,1
8,1.3849,2.0345,1.314,1.8202,1.5844,1.0346,1.4931,2.0073,1.8245,1.563,1.0891,0.0083,0.1956,1.1448,0.4637,0.2621,-0.5928,-0.0614,0.3468,-0.3184,-0.7823,1,0.933,1,1
9,1.7969,2.0345,1.314,1.8202,1.251,1.0346,1.3517,0.937,1.8245,2.0378,1.6762,1.0844,1.2643,1.8164,-1.2792,-0.3121,0.1869,1.6219,-0.6523,0.6818,-0.7823,2,-2.0409,1,1
8,-0.3172,-0.5708,0.7015,-0.5799,-0.3253,1.0346,0.6521,0.1915,0.1744,0.6912,0.6012,1.0844,0.1956,-0.1015,0.4637,0.2621,1.2386,-0.8386,-0.094,-1.5796,0.2308,1,-0.7733,1.3333334,1
10,-0.3682,1.1945,0.1597,1.0067,0.5121,0.2169,0.4798,0.5464,1.2662,-0.6142,-0.1855,1.0844,0.7262,1.1448,-0.2459,0.9759,-0.3236,-0.8386,-0.4347,-0.3184,-0.7823,2,-2.0409,1,1
5,0.5719,2.0345,-0.2023,-0.5794,-0.3253,-0.6576,0.2432,-0.4708,0.1744,-1.1126,-0.9391,-0.6583,-0.5707,-0.1015,0.052,-0.9827,-0.3236,-0.4684,-0.4347,-0.3184,-0.7823,2,-1.2401,1.3333334,1
3,1.1028,2.0345,0.7015,-0.2546,0.5121,1.0346,0.1214,-0.1716,0.1744,2.0378,-0.2119,1.0844,0.7871,0.5693,1.3423,0.2621,-0.916,-1.0974,0.1447,-0.0845,-0.7823,1,-0.9033,1,1
